"Time of Day","Process Name","PID","Operation","Path","Result","Detail","TID"
"10:02:09.1172221","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\ole32.dll","NAME NOT FOUND","","8260"
"10:02:09.2965228","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\ws2_32.dll","NAME NOT FOUND","","2368"
"10:02:09.2974041","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\mswsock.dll","SUCCESS","CreationTime: 04/12/2023 03:41:45, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:45, ChangeTime: 06/02/2025 13:36:12, AllocationSize: 421,888, EndOfFile: 419,584, FileAttributes: A","2368"
"10:02:09.3213553","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\wshunix.dll","SUCCESS","CreationTime: 07/12/2019 10:09:05, LastAccessTime: 26/06/2025 10:01:32, LastWriteTime: 07/12/2019 10:09:05, ChangeTime: 06/02/2025 13:34:40, AllocationSize: 20,480, EndOfFile: 17,560, FileAttributes: A","2368"
"10:02:09.3333077","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\ucrtbase.dll","NAME NOT FOUND","","2368"
"10:02:09.3340358","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\NapiNSP.dll","SUCCESS","CreationTime: 04/12/2023 03:42:01, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:42:01, ChangeTime: 25/06/2025 21:42:24, AllocationSize: 73,728, EndOfFile: 70,144, FileAttributes: A","2368"
"10:02:09.3350249","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\pnrpnsp.dll","SUCCESS","CreationTime: 04/12/2023 03:42:55, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:42:55, ChangeTime: 25/06/2025 21:42:24, AllocationSize: 90,112, EndOfFile: 89,088, FileAttributes: A","2368"
"10:02:09.3356394","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\pnrpnsp.dll","SUCCESS","CreationTime: 04/12/2023 03:42:55, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:42:55, ChangeTime: 25/06/2025 21:42:24, AllocationSize: 90,112, EndOfFile: 89,088, FileAttributes: A","2368"
"10:02:09.3364713","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\nlasvc.dll","SUCCESS","CreationTime: 04/12/2023 03:42:04, LastAccessTime: 26/06/2025 10:02:06, LastWriteTime: 04/12/2023 03:42:04, ChangeTime: 06/02/2025 13:33:36, AllocationSize: 389,120, EndOfFile: 388,608, FileAttributes: A","2368"
"10:02:09.3370006","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\WSHTCPIP.DLL","SUCCESS","CreationTime: 04/12/2023 03:41:45, LastAccessTime: 26/06/2025 10:01:32, LastWriteTime: 04/12/2023 03:41:45, ChangeTime: 06/02/2025 13:33:38, AllocationSize: 16,384, EndOfFile: 12,800, FileAttributes: A","2368"
"10:02:09.3375402","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\winrnr.dll","SUCCESS","CreationTime: 04/12/2023 03:41:56, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:56, ChangeTime: 25/06/2025 21:42:24, AllocationSize: 49,152, EndOfFile: 49,152, FileAttributes: A","2368"
"10:02:09.3519925","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\winrnr.dll","SUCCESS","CreationTime: 04/12/2023 03:41:56, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:56, ChangeTime: 25/06/2025 21:42:24, AllocationSize: 49,152, EndOfFile: 49,152, FileAttributes: A","3476"
"10:02:09.3829854","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\cryptbase.dll","SUCCESS","CreationTime: 04/12/2023 03:41:48, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:48, ChangeTime: 06/02/2025 13:36:20, AllocationSize: 36,864, EndOfFile: 35,352, FileAttributes: A","4292"
"10:02:09.3839207","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\rasadhlp.dll","SUCCESS","CreationTime: 04/12/2023 03:42:07, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:42:07, ChangeTime: 06/02/2025 13:36:43, AllocationSize: 20,480, EndOfFile: 17,408, FileAttributes: A","3476"
"10:02:09.3871316","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\nlaapi.dll","SUCCESS","CreationTime: 04/12/2023 03:42:04, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:42:04, ChangeTime: 25/06/2025 21:42:24, AllocationSize: 98,304, EndOfFile: 97,280, FileAttributes: A","3476"
"10:02:09.3877786","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\wshbth.dll","SUCCESS","CreationTime: 04/12/2023 03:41:33, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:33, ChangeTime: 25/06/2025 21:42:24, AllocationSize: 65,536, EndOfFile: 64,000, FileAttributes: A","3476"
"10:02:09.3882985","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\DEVOBJ.dll","NAME NOT FOUND","","3476"
"10:02:09.3883570","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\devobj.dll","SUCCESS","CreationTime: 04/12/2023 03:41:47, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:47, ChangeTime: 06/02/2025 13:36:11, AllocationSize: 196,608, EndOfFile: 195,944, FileAttributes: A","3476"
"10:02:09.3905893","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\pnrpnsp.dll","SUCCESS","CreationTime: 04/12/2023 03:42:55, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:42:55, ChangeTime: 25/06/2025 21:42:24, AllocationSize: 90,112, EndOfFile: 89,088, FileAttributes: A","3476"
"10:02:09.3911034","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\NapiNSP.dll","SUCCESS","CreationTime: 04/12/2023 03:42:01, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:42:01, ChangeTime: 25/06/2025 21:42:24, AllocationSize: 73,728, EndOfFile: 70,144, FileAttributes: A","3476"
"10:02:09.4283129","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\FWPUCLNT.DLL","SUCCESS","CreationTime: 04/12/2023 03:41:30, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:30, ChangeTime: 06/02/2025 13:36:43, AllocationSize: 503,808, EndOfFile: 503,296, FileAttributes: A","4292"
"10:02:09.4761891","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\sspicli.dll","NAME NOT FOUND","","4904"
"10:02:09.5235220","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\schannel.dll","SUCCESS","CreationTime: 04/12/2023 03:41:46, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:46, ChangeTime: 06/02/2025 10:39:59, AllocationSize: 598,016, EndOfFile: 594,432, FileAttributes: A","4904"
"10:02:09.5809161","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\mskeyprotect.dll","SUCCESS","CreationTime: 04/12/2023 03:41:08, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:08, ChangeTime: 06/02/2025 10:39:59, AllocationSize: 69,632, EndOfFile: 66,560, FileAttributes: A","6964"
"10:02:09.5815094","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\ntasn1.dll","SUCCESS","CreationTime: 04/12/2023 03:41:46, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:46, ChangeTime: 06/02/2025 13:36:30, AllocationSize: 245,760, EndOfFile: 242,328, FileAttributes: A","6964"
"10:02:09.5818998","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\ncrypt.dll","NAME NOT FOUND","","6964"
"10:02:09.5819490","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\ncrypt.dll","SUCCESS","CreationTime: 04/12/2023 03:41:46, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:46, ChangeTime: 06/02/2025 13:36:30, AllocationSize: 155,648, EndOfFile: 154,568, FileAttributes: A","6964"
"10:02:09.5844429","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\ncryptsslp.dll","SUCCESS","CreationTime: 04/12/2023 03:41:46, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:46, ChangeTime: 06/02/2025 13:33:36, AllocationSize: 143,360, EndOfFile: 139,608, FileAttributes: A","6964"
"10:02:09.6117035","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\MSASN1.dll","NAME NOT FOUND","","6964"
"10:02:09.6117588","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\msasn1.dll","SUCCESS","CreationTime: 04/12/2023 03:41:46, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:46, ChangeTime: 06/02/2025 13:36:25, AllocationSize: 65,536, EndOfFile: 65,248, FileAttributes: A","6964"
"10:02:09.6129744","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\crypt32.dll","NAME NOT FOUND","","6964"
"10:02:09.6204959","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\tzres.dll","SUCCESS","CreationTime: 04/12/2023 03:41:46, LastAccessTime: 26/06/2025 10:02:04, LastWriteTime: 04/12/2023 03:41:46, ChangeTime: 06/02/2025 13:33:37, AllocationSize: 4,096, EndOfFile: 2,560, FileAttributes: A","6964"
"10:02:09.6208569","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\tzres.dll","SUCCESS","CreationTime: 04/12/2023 03:41:46, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:46, ChangeTime: 06/02/2025 13:33:37, AllocationSize: 4,096, EndOfFile: 2,560, FileAttributes: A","6964"
"10:02:09.6535103","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\en-GB\tzres.dll.mui","SUCCESS","CreationTime: 04/12/2023 03:43:48, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:43:48, ChangeTime: 06/02/2025 13:33:42, AllocationSize: 45,056, EndOfFile: 45,056, FileAttributes: A","6964"
"10:02:09.6537557","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\en-GB\tzres.dll.mui","SUCCESS","CreationTime: 04/12/2023 03:43:48, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:43:48, ChangeTime: 06/02/2025 13:33:42, AllocationSize: 45,056, EndOfFile: 45,056, FileAttributes: A","6964"
"10:02:09.6543812","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\en-GB\tzres.dll.mui","SUCCESS","CreationTime: 04/12/2023 03:43:48, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:43:48, ChangeTime: 06/02/2025 13:33:42, AllocationSize: 45,056, EndOfFile: 45,056, FileAttributes: A","6964"
"10:02:09.6544220","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\en-GB\tzres.dll.mui","SUCCESS","CreationTime: 04/12/2023 03:43:48, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:43:48, ChangeTime: 06/02/2025 13:33:42, AllocationSize: 45,056, EndOfFile: 45,056, FileAttributes: A","6964"
"10:02:09.6545803","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\en-GB\tzres.dll.mui","SUCCESS","CreationTime: 04/12/2023 03:43:48, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:43:48, ChangeTime: 06/02/2025 13:33:42, AllocationSize: 45,056, EndOfFile: 45,056, FileAttributes: A","6964"
"10:02:09.6546147","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\en-GB\tzres.dll.mui","SUCCESS","CreationTime: 04/12/2023 03:43:48, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:43:48, ChangeTime: 06/02/2025 13:33:42, AllocationSize: 45,056, EndOfFile: 45,056, FileAttributes: A","6964"
"10:02:22.8173136","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\shell32.dll","NAME NOT FOUND","","6320"
